City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2806,-36.5098,9.12,91,100,5.3,GS,1707836414
1,papao,12.6919,-16.3792,38.06,34,0,2.06,SN,1707836416
2,las tablas,7.7678,-80.2764,27.26,99,100,6.53,PA,1707836418
3,amga,60.8942,131.98,-28.55,99,100,1.56,RU,1707836421
4,bredasdorp,-34.5331,20.0428,25.34,48,17,7.48,ZA,1707836422
5,jabat,7.7521,168.9751,27.15,77,100,6.03,MH,1707836423
6,whangarei,-35.7275,174.3194,14.11,99,16,0.28,NZ,1707836425
7,mount gambier,-37.8247,140.782,14.42,54,93,5.33,AU,1707836426
8,chadron,44.9601,3.9355,10.51,40,5,1.13,FR,1707836427
9,ilulissat,69.2197,-51.0986,-19.84,50,40,1.54,GL,1707836428
10,port-aux-francais,-49.3498,70.22,8.23,90,94,9.95,TF,1707836429
11,nar'yan-mar,67.638,53.0071,-29.39,98,71,3.58,RU,1707836430
12,waitangi,-35.2705,174.0805,15.87,88,16,0.51,NZ,1707836431
13,berezovo,63.9352,65.0536,-31.97,97,49,4.42,RU,1707836432
14,cabo san lucas,22.8905,-109.9167,17.47,78,100,1.34,MX,1707836184
15,flying fish cove,-10.4213,105.6744,25.24,94,8,0.0,CX,1707836434
16,port mathurin,-19.6808,63.4221,27.65,82,36,9.13,MU,1707836435
17,kodiak,57.79,-152.4072,2.73,93,100,11.83,US,1707836436
18,galliano,44.0161,11.2913,16.63,54,16,1.61,IT,1707836437
19,wailua homesteads,22.0581,-159.3691,17.8,82,14,0.98,US,1707836438
20,ushuaia,-54.8061,-68.3185,14.83,44,0,3.6,AR,1707836439
21,enewetak,11.3409,162.3245,26.09,74,25,8.18,MH,1707836440
22,faya-largeau,17.9209,19.0953,33.39,5,0,4.85,TD,1707836442
23,guerrero negro,27.971,-114.0364,13.41,51,0,1.99,MX,1707836442
24,adamstown,-25.0667,-130.1002,24.73,89,100,7.02,PN,1707836443
25,'ohonua,-21.3413,-174.9561,27.04,84,99,10.97,TO,1707836444
26,ulladulla,-35.3622,150.4752,21.46,73,19,2.28,AU,1707836445
27,bethel,60.7922,-161.7558,0.03,100,100,4.12,US,1707836446
28,san juan de miraflores,-12.1559,-76.9721,25.34,65,11,3.27,PE,1707836447
29,daru,-9.0699,143.21,26.88,85,100,3.22,PG,1707836448
30,carbonear,47.7331,-53.2366,0.64,83,11,5.67,CA,1707836449
31,ataq,14.5277,46.8454,24.73,48,20,8.04,YE,1707836450
32,blackmans bay,-43.0047,147.318,13.68,77,98,1.34,AU,1707836451
33,edinburgh of the seven seas,-37.0676,-12.3108,18.32,72,70,4.08,SH,1707836451
34,igarka,67.4566,86.5308,-37.74,95,18,1.66,RU,1707836452
35,sungailiat,-1.8477,106.1192,26.44,88,100,3.18,ID,1707836453
36,mezhdurechenskiy,59.5924,65.9083,-15.6,95,100,6.03,RU,1707836454
37,trenggalek,-8.0491,111.7091,25.41,93,97,0.2,ID,1707836455
38,iskateley,67.6762,53.1292,-29.41,98,69,3.58,RU,1707836455
39,college,45.3266,-75.8386,0.55,80,20,2.57,CA,1707836456
40,thompson,55.7433,-97.8635,-8.9,92,100,2.06,CA,1707836457
41,la passe,46.2035,-1.4601,12.23,89,75,8.92,FR,1707836458
42,watford city,47.8022,-103.2832,-0.08,100,100,8.23,US,1707836459
43,axim,4.8654,-2.2422,31.13,69,64,5.06,GH,1707836460
44,seogwipo,33.2573,126.5153,16.04,81,87,4.07,KR,1707836460
45,santa luzia,-19.7702,-43.8505,31.54,48,20,1.54,BR,1707836460
46,tiksi,71.6366,128.8685,-29.78,100,100,2.13,RU,1707836461
47,ust-nera,64.5664,143.2378,-41.64,97,67,0.84,RU,1707836461
48,cuenca,40.0652,-2.1302,14.08,70,92,3.88,ES,1707836349
49,puerto ayora,-0.7472,-90.3134,27.89,93,50,3.58,EC,1707836462
50,lhasa,29.6554,91.1705,2.46,27,80,2.28,CN,1707836463
51,papatowai,-46.5619,169.4708,14.02,79,62,1.51,NZ,1707836463
52,mendi,-6.1394,143.6579,15.66,96,78,1.06,PG,1707836464
53,isiro,2.7743,27.6208,34.39,27,61,1.54,CD,1707836464
54,peterhead,57.5053,-1.7813,8.33,68,6,6.68,GB,1707836465
55,luderitz,-26.65,15.1573,23.79,63,86,10.28,NA,1707836465
56,sinabang,2.4795,96.3806,27.68,79,12,0.86,ID,1707836466
57,yellowknife,62.4541,-114.3774,-15.9,85,75,2.57,CA,1707836466
58,odder,55.9758,10.1513,8.08,78,7,4.7,DK,1707836467
59,manta,44.6159,7.487,15.36,35,56,2.57,IT,1707836468
60,chul'man,56.8404,124.9047,-23.16,94,100,3.22,RU,1707836468
61,fort bragg,35.1403,-79.1541,13.81,58,0,4.12,US,1707836468
62,kirensk,57.7764,108.1163,-16.78,91,100,3.21,RU,1707836469
63,punta cardon,11.6175,-70.2117,27.73,73,86,11.25,VE,1707836470
64,tofol,5.326,163.0087,27.56,82,100,7.36,FM,1707836471
65,saint-joseph,49.5345,-1.5298,10.31,93,100,8.23,FR,1707836471
66,mountain home,43.133,-115.6912,1.35,86,0,0.0,US,1707836474
67,port elizabeth,-33.9617,25.6208,23.06,68,0,11.32,ZA,1707836478
68,petropavlovsk-kamchatsky,53.02,158.6471,-16.8,81,81,3.13,RU,1707836480
69,koryazhma,61.3152,47.1606,-18.34,99,29,2.01,RU,1707836095
70,cill airne,52.0598,-9.5081,10.99,93,100,2.57,IE,1707836482
71,caleta olivia,-46.4724,-67.571,23.56,24,63,5.5,AR,1707836483
72,mishan,37.1713,121.9241,5.53,94,9,2.65,CN,1707836485
73,sisimiut,66.9372,-53.6665,-19.33,76,0,2.82,GL,1707836486
74,itoman,26.106,127.6861,22.22,63,75,7.2,JP,1707836487
75,landeck,47.1275,10.5557,8.06,46,20,4.47,AT,1707836490
76,puerto aysen,-45.4068,-72.6977,22.42,43,100,1.2,CL,1707836494
77,kununurra,-15.7731,128.7388,26.95,94,100,1.03,AU,1707836498
78,albany,42.6512,-73.755,2.6,75,100,3.6,US,1707836204
79,medina,24.4712,39.6111,28.17,28,40,4.12,SA,1707836500
80,geraldton,-28.7704,114.6147,22.09,83,0,5.66,AU,1707836501
81,puerto san carlos,-12.6608,-63.55,24.67,96,100,1.2,BR,1707836502
82,stanley,-51.6951,-57.8492,14.19,62,20,6.69,FK,1707836503
83,camarinas,43.1297,-9.1852,17.74,93,8,10.47,ES,1707836504
84,punta arenas,-53.1626,-70.9078,16.16,55,75,12.35,CL,1707836505
85,zhongshu,24.5315,103.7612,11.5,45,55,2.29,CN,1707836506
86,saint-pierre,48.3833,7.4719,13.18,55,76,1.81,FR,1707836507
87,wegrow,52.4008,22.0465,4.97,74,86,4.94,PL,1707836508
88,arno,7.063,171.5553,27.11,76,100,7.63,MH,1707836509
89,tanki leendert,12.539,-70.0213,29.3,77,40,10.29,AW,1707836510
90,longyearbyen,78.2232,15.6464,-4.85,54,0,1.54,SJ,1707836511
91,zeribet el oued,34.683,6.5047,22.15,28,0,0.88,DZ,1707836512
92,dolbeau-mistassini,48.8832,-72.2337,-9.68,84,29,2.72,CA,1707836512
93,diego de almagro,-26.3911,-70.0459,26.8,39,73,2.93,CL,1707836514
94,bardai,21.355,17.0005,23.77,15,0,6.44,TD,1707836514
95,selfoss,63.9368,-21.0035,-3.07,85,6,3.46,IS,1707836515
96,saipan,15.191,145.7467,23.31,78,88,9.41,MP,1707836516
97,remire-montjoly,4.905,-52.2772,30.0,74,75,5.66,GF,1707836517
98,san antonio,29.4246,-98.4951,12.8,61,0,0.0,US,1707836518
99,kudahuvadhoo,2.6705,72.8906,27.71,85,88,8.89,MV,1707836519
100,dudinka,69.4061,86.1751,-37.38,99,20,1.79,RU,1707836520
101,gbarnga,6.9963,-9.4709,39.68,21,0,2.59,LR,1707836522
102,ribeira grande,37.8225,-25.5195,18.23,99,20,9.77,PT,1707836523
103,yinchuan,38.4852,106.2262,3.11,35,95,3.38,CN,1707836524
104,komen,50.7653,3.0066,10.6,70,90,5.87,BE,1707836526
105,aasiaat,68.7096,-52.8513,-29.76,97,100,3.85,GL,1707836527
106,la almunia de dona godina,41.4778,-1.3733,19.27,49,100,8.32,ES,1707836528
107,jamestown,-15.9277,-5.7161,24.31,77,55,6.7,SH,1707836529
108,chagoda,59.1638,35.3294,-15.8,98,76,2.25,RU,1707836530
109,isafjordur,66.0727,-23.1194,-1.95,69,0,2.06,IS,1707836531
110,la sarre,48.8001,-79.201,-14.39,89,70,3.97,CA,1707836532
111,zapolyarnyy,69.4262,30.8199,-17.49,89,100,5.24,RU,1707836533
112,ahau,-12.501,177.0479,28.36,79,100,7.89,FJ,1707836534
113,saldanha,-32.9978,17.9456,26.15,86,12,7.74,ZA,1707836535
114,talnakh,69.494,88.3908,-34.32,87,15,1.7,RU,1707836536
115,tanjay,9.5165,123.1566,25.54,78,3,3.58,PH,1707836537
116,pacific grove,36.6211,-121.9178,8.84,85,95,0.45,US,1707836538
117,kondagaon,19.5886,81.6629,21.38,29,64,2.23,IN,1707836540
118,kapa'a,-33.929,18.4174,26.11,60,20,5.66,ZA,1707836541
119,sterling,41.7883,-89.6954,0.99,74,0,3.6,US,1707836542
120,iqaluit,63.7494,-68.5219,-21.03,71,100,1.54,CA,1707836544
121,olonkinbyen,70.9224,-8.716,-1.23,99,100,3.7,SJ,1707836544
122,puerto baquerizo moreno,-0.9026,-89.6102,26.81,94,40,3.6,EC,1707836546
123,hawaiian paradise park,19.585,-154.9731,17.65,63,0,2.0,US,1707836547
124,saint-francois,47.0019,-70.8129,-1.31,63,50,0.51,CA,1707836547
125,altamont,37.1903,-95.2972,4.97,54,0,3.78,US,1707836548
126,ouahigouya,13.581,-2.4177,37.08,4,100,4.77,BF,1707836549
127,aykhal,65.9516,111.4918,-32.15,99,100,4.97,RU,1707836550
128,sale,44.9807,8.8093,15.87,51,10,0.33,IT,1707836551
129,ola,35.0323,-93.2232,3.36,73,0,1.34,US,1707836551
130,san luis de la loma,17.2706,-100.8939,27.46,55,6,0.59,MX,1707836552
131,fuvahmulah,-0.2948,73.4241,27.72,75,100,6.41,MV,1707836552
132,balqash,46.8435,74.981,-13.94,88,70,3.99,KZ,1707836523
133,fort mcmurray,56.7292,-111.3885,-11.23,92,75,3.6,CA,1707836553
134,invercargill,-46.4118,168.3471,10.33,93,2,1.63,NZ,1707836554
135,bijie,27.2859,105.2866,11.79,79,4,2.16,CN,1707836555
136,palmas,44.3998,2.8434,11.99,57,9,1.08,FR,1707836555
137,pibor,6.8011,33.1297,38.85,20,100,2.68,SS,1707836556
138,prieska,-29.6663,22.7444,38.41,12,39,9.16,ZA,1707836557
139,ulanhot,46.0708,122.0698,-4.91,50,100,3.85,CN,1707836557
140,east ballina,-28.8596,153.5833,20.36,91,21,1.08,AU,1707836558
141,bilibino,68.055,166.4449,-32.1,99,93,2.07,RU,1707836558
142,vilyuchinsk,52.9318,158.4054,-16.69,82,85,2.86,RU,1707836559
143,emerald,-23.5263,148.1619,23.5,93,100,4.06,AU,1707836559
144,khandyga,62.6478,135.5751,-36.93,100,100,0.43,RU,1707836559
145,mukah,2.893,112.0913,27.83,82,100,8.83,MY,1707836560
146,khorramabad,33.4842,48.3538,17.79,27,75,4.12,IR,1707836560
147,whitehorse,60.7216,-135.0549,-6.57,79,100,2.06,CA,1707836561
148,pyapon,16.1701,95.5452,24.18,62,17,2.65,MM,1707836561
149,vila franca do campo,37.7172,-25.4335,18.27,99,52,10.28,PT,1707836561
150,herbolzheim,48.2199,7.777,13.21,50,0,2.06,DE,1707836562
151,ketchikan,55.3431,-131.6467,0.75,76,11,3.27,US,1707836562
152,sorong,-0.8634,131.2545,27.27,80,54,3.93,ID,1707836563
153,dongola,19.1729,30.4732,30.71,5,0,3.26,SD,1707836563
154,bleckede,53.2865,10.7335,7.63,79,94,4.71,DE,1707836266
