City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arraial do cabo,-22.9663,-42.0244,26.1,85,95,8.08,BR,1707868347
1,hermanus,-34.4175,19.2361,15.47,88,6,1.9,ZA,1707868348
2,port-aux-francais,-49.3498,70.22,7.85,90,100,9.51,TF,1707868348
3,kone,-21.0608,164.8619,30.75,62,12,2.31,NC,1707868348
4,tiksi,71.6366,128.8685,-24.43,99,100,1.97,RU,1707868349
5,georgetown,6.8137,-58.1624,27.16,90,85,3.01,GY,1707868349
6,west island,-12.1459,96.8423,27.03,78,40,5.14,CC,1707868349
7,dudinka,69.4061,86.1751,-37.38,99,23,1.79,RU,1707868350
8,adamstown,-25.0667,-130.1002,24.63,82,100,7.14,PN,1707868350
9,hechuan,29.9747,106.2722,12.27,70,77,0.71,CN,1707868350
10,anadyr,64.7317,177.5061,-25.91,75,40,6.0,RU,1707868351
11,grytviken,-54.2806,-36.5098,6.06,97,100,3.13,GS,1707868351
12,bilibino,68.055,166.4449,-36.33,100,92,0.31,RU,1707868351
13,kurchatov,51.6595,35.6589,4.67,99,100,3.83,RU,1707868352
14,talnakh,69.494,88.3908,-34.18,92,23,1.84,RU,1707868352
15,edinburgh of the seven seas,-37.0676,-12.3108,17.97,82,36,3.95,SH,1707868352
16,weno,7.4401,151.857,27.47,70,20,5.66,FM,1707868353
17,nar'yan-mar,67.638,53.0071,-29.39,98,9,3.58,RU,1707868353
18,mahibadhoo,3.7572,72.9689,27.89,78,84,7.59,MV,1707868353
19,aranda de duero,41.6715,-3.6851,9.12,94,44,1.53,ES,1707868353
20,waitangi,-35.2705,174.0805,25.87,58,11,4.15,NZ,1707868354
21,puerto natales,-51.7262,-72.506,10.45,98,97,1.36,CL,1707868354
22,oppdal,62.5352,9.6233,-8.47,78,25,4.63,NO,1707868354
23,coquimbo,-29.9532,-71.338,19.93,77,75,4.63,CL,1707868355
24,petropavlovsk-kamchatsky,53.02,158.6471,-17.94,69,14,1.87,RU,1707868355
25,holualoa,19.6238,-155.9536,24.77,74,20,5.14,US,1707868355
26,coahuayana de hidalgo,18.6963,-103.662,26.58,68,93,2.05,MX,1707868356
27,ust-nera,64.5664,143.2378,-37.5,96,90,0.2,RU,1707868357
28,erdenet,49.0275,104.0448,-25.42,84,2,1.62,MN,1707868357
29,pachino,36.7152,15.0915,12.0,63,1,5.03,IT,1707868357
30,tolanaro,-25.0297,46.9904,24.88,88,40,4.12,MG,1707868358
31,north bend,47.4958,-121.7849,9.56,86,17,0.45,US,1707868358
32,blackmans bay,-43.0047,147.318,17.02,52,40,1.79,AU,1707868358
33,puerto ayora,-0.7472,-90.3134,27.89,96,69,1.34,EC,1707868359
34,fort bragg,35.1403,-79.1541,13.71,37,0,5.66,US,1707868359
35,kalianget,-7.3458,109.9109,22.01,91,47,0.52,ID,1707868360
36,iqaluit,63.7494,-68.5219,-19.03,78,75,0.0,CA,1707868360
37,miches,18.9851,-69.0499,23.9,82,9,2.49,DO,1707868360
38,puerto san carlos,-12.6608,-63.55,22.82,99,100,0.73,BR,1707868361
39,st. john's,47.56,-52.712,-0.46,85,100,3.09,CA,1707867830
40,tazovsky,67.4735,78.7149,-39.38,100,45,2.1,RU,1707868361
41,gusinoozyorsk,51.2895,106.527,-24.98,96,29,1.02,RU,1707868362
42,sisimiut,66.9372,-53.6665,-21.05,71,2,5.17,GL,1707868362
43,bethel,60.7922,-161.7558,1.03,100,100,3.6,US,1707868362
44,constantia,44.1767,28.6508,7.7,83,100,4.54,RO,1707868363
45,norilsk,69.3498,88.2005,-33.49,86,18,1.71,RU,1707868363
46,santa terezinha,-26.7813,-50.009,21.02,100,100,0.46,BR,1707868363
47,bukama,-11.7055,27.4726,17.29,99,42,1.8,CD,1707868364
48,kodiak,57.79,-152.4072,3.73,93,100,11.32,US,1707868365
49,margaret river,-33.9532,115.0769,16.53,63,59,4.83,AU,1707868365
50,mount isa,-20.729,139.4932,28.92,70,70,6.17,AU,1707868365
